,0
0,-1.0
1,0.0
2,-2.0
3,0.0
4,-1.0
5,-2.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,-1.0
15,0.0
16,0.0
17,0.0
18,1.0
19,-1.0
20,-2.0
21,1.0
22,-2.0
23,3.0
24,0.0
25,3.0
26,0.0
27,0.0
28,-1.0
29,2.0
30,0.0
31,0.0
32,1.0
33,-2.0
34,2.0
35,1.0
36,2.0
37,-1.0
38,0.0
39,3.0
40,3.0
41,2.0
42,3.0
43,-1.0
44,-2.0
45,2.0
46,0.0
47,1.0
48,2.0
49,-1.0
50,0.0
51,-1.0
52,1.0
53,0.0
54,3.0
55,2.0
56,3.0
57,1.0
58,-1.0
59,0.0
60,1.0
61,3.0
62,2.0
63,1.0
64,-1.0
65,2.0
66,5.0
67,3.0
68,1.0
69,1.0
70,1.0
71,2.0
72,0.0
73,-1.0
74,2.0
75,3.0
76,0.0
77,0.0
78,4.0
79,0.0
80,3.0
81,-1.0
82,-3.0
83,5.0
84,4.0
85,3.0
86,0.0
87,5.0
88,1.0
89,3.0
90,2.0
91,2.0
92,1.0
93,1.0
94,3.0
95,1.0
96,5.0
97,1.0
98,0.0
99,2.0
100,2.0
101,2.0
102,2.0
103,-1.0
104,3.0
105,3.0
106,4.0
107,8.0
108,2.0
109,2.0
110,1.0
111,6.0
112,3.0
113,1.0
114,5.0
115,4.0
116,3.0
117,3.0
118,4.0
119,5.0
120,5.0
121,5.0
122,4.0
123,1.0
124,4.0
125,0.0
126,0.0
127,0.0
128,5.0
129,2.0
130,4.0
131,6.0
132,1.0
133,6.0
134,5.0
135,5.0
136,3.0
137,4.0
138,5.0
139,1.0
140,3.0
141,3.0
142,4.0
143,8.0
144,0.0
145,4.0
146,4.0
147,4.0
148,6.0
149,2.0
150,3.0
151,4.0
152,3.0
153,2.0
154,3.0
155,1.0
156,3.0
157,11.0
158,4.0
159,9.0
160,2.0
161,8.0
162,3.0
163,8.0
164,4.0
165,4.0
166,11.0
167,5.0
168,12.0
169,7.0
170,6.0
171,8.0
172,3.0
173,8.0
174,6.0
175,3.0
176,2.0
177,6.0
178,5.0
179,10.0
180,3.0
181,9.0
182,6.0
183,5.0
184,3.0
185,5.0
186,4.0
187,1.0
188,4.0
189,7.0
190,3.0
191,8.0
192,4.0
193,2.0
194,5.0
195,5.0
196,3.0
197,7.0
198,3.0
199,5.0
200,5.0
201,5.0
202,4.0
203,2.0
204,2.0
205,6.0
206,10.0
207,7.0
208,4.0
209,8.0
210,8.0
211,8.0
212,6.0
213,8.0
214,13.0
215,12.0
216,12.0
217,2.0
218,3.0
219,1.0
220,7.0
221,8.0
222,2.0
223,6.0
224,5.0
225,1.0
226,7.0
227,9.0
228,9.0
229,5.0
230,1.0
231,8.0
232,11.0
233,11.0
234,2.0
235,9.0
236,3.0
237,8.0
238,2.0
239,8.0
240,11.0
241,8.0
242,9.0
243,14.0
244,0.0
245,4.0
246,2.0
247,10.0
248,5.0
249,1.0
250,4.0
251,13.0
252,6.0
253,1.0
254,3.0
255,2.0
256,8.0
257,12.0
258,8.0
259,15.0
260,10.0
261,13.0
262,2.0
263,10.0
264,9.0
265,13.0
266,9.0
267,8.0
268,5.0
269,7.0
270,9.0
271,3.0
272,7.0
273,5.0
274,5.0
275,8.0
276,7.0
277,4.0
278,9.0
279,12.0
280,8.0
281,8.0
282,14.0
283,5.0
284,9.0
285,3.0
286,7.0
287,2.0
288,2.0
289,3.0
290,7.0
291,9.0
292,6.0
293,12.0
294,5.0
295,8.0
296,6.0
297,9.0
298,12.0
299,1.0
300,9.0
301,7.0
302,11.0
303,11.0
304,12.0
305,11.0
306,6.0
307,6.0
308,7.0
309,11.0
310,8.0
311,11.0
312,7.0
313,13.0
314,10.0
315,10.0
316,13.0
317,14.0
318,13.0
319,12.0
320,6.0
321,7.0
322,8.0
323,17.0
324,11.0
325,6.0
326,10.0
327,10.0
328,15.0
329,11.0
330,6.0
331,14.0
332,7.0
333,8.0
334,16.0
335,13.0
336,7.0
337,8.0
338,11.0
339,14.0
340,17.0
341,1.0
342,3.0
343,16.0
344,7.0
345,14.0
346,10.0
347,5.0
348,9.0
349,14.0
350,10.0
351,8.0
352,17.0
353,15.0
354,1.0
355,7.0
356,17.0
357,9.0
358,12.0
359,13.0
360,1.0
361,8.0
362,12.0
363,16.0
364,16.0
365,9.0
366,15.0
367,6.0
368,13.0
369,2.0
370,13.0
371,11.0
372,11.0
373,13.0
374,12.0
375,3.0
376,14.0
377,7.0
378,8.0
379,14.0
380,16.0
381,15.0
382,14.0
383,12.0
384,11.0
385,13.0
386,10.0
387,11.0
388,12.0
389,4.0
390,8.0
391,14.0
392,12.0
393,9.0
394,13.0
395,10.0
396,14.0
