,0
0,2.0
1,0.0
2,0.0
3,0.0
4,1.0
5,-2.0
6,1.0
7,-1.0
8,-1.0
9,0.0
10,1.0
11,0.0
12,2.0
13,1.0
14,-1.0
15,0.0
16,0.0
17,1.0
18,1.0
19,1.0
20,0.0
21,2.0
22,0.0
23,0.0
24,0.0
25,0.0
26,-1.0
27,0.0
28,0.0
29,-1.0
30,0.0
31,2.0
32,1.0
33,0.0
34,0.0
35,1.0
36,0.0
37,-2.0
38,1.0
39,0.0
40,0.0
41,0.0
42,-3.0
43,-1.0
44,0.0
45,-2.0
46,-1.0
47,1.0
48,0.0
49,-1.0
50,-3.0
51,1.0
52,-1.0
53,-2.0
54,0.0
55,2.0
56,2.0
57,1.0
58,1.0
59,0.0
60,-3.0
61,2.0
62,0.0
63,2.0
64,-1.0
65,-1.0
66,1.0
67,0.0
68,1.0
69,0.0
70,2.0
71,-1.0
72,0.0
73,-1.0
74,1.0
75,-1.0
76,1.0
77,0.0
78,0.0
79,-3.0
80,-1.0
81,0.0
82,-3.0
83,2.0
84,0.0
85,0.0
86,1.0
87,1.0
88,2.0
89,0.0
90,0.0
91,-3.0
92,1.0
93,-1.0
94,-1.0
95,-1.0
96,-1.0
97,0.0
98,2.0
99,0.0
100,0.0
101,-2.0
102,1.0
103,1.0
104,0.0
105,2.0
106,-1.0
107,1.0
108,-1.0
109,0.0
110,0.0
111,2.0
112,1.0
113,1.0
114,1.0
115,1.0
116,0.0
117,4.0
118,1.0
119,4.0
120,2.0
121,3.0
122,2.0
123,1.0
124,6.0
125,3.0
126,2.0
127,1.0
128,0.0
129,0.0
130,0.0
131,1.0
132,1.0
133,1.0
134,3.0
135,0.0
136,0.0
137,1.0
138,0.0
139,2.0
140,6.0
141,2.0
142,3.0
143,3.0
144,3.0
145,2.0
146,2.0
147,2.0
148,2.0
149,4.0
150,3.0
151,4.0
152,5.0
153,0.0
154,3.0
155,3.0
156,2.0
157,2.0
158,5.0
159,-2.0
160,1.0
161,0.0
162,2.0
163,0.0
164,2.0
165,4.0
166,1.0
167,2.0
168,2.0
169,0.0
170,3.0
171,1.0
172,2.0
173,4.0
174,1.0
175,-1.0
176,3.0
177,2.0
178,0.0
179,1.0
180,2.0
181,2.0
182,1.0
183,3.0
184,3.0
185,2.0
186,3.0
187,4.0
188,2.0
189,2.0
190,6.0
191,0.0
192,0.0
193,4.0
194,4.0
195,4.0
196,3.0
197,4.0
198,7.0
199,3.0
200,1.0
201,1.0
202,0.0
203,3.0
204,-1.0
205,5.0
206,6.0
207,3.0
208,3.0
209,0.0
210,1.0
211,1.0
212,3.0
213,3.0
214,3.0
215,1.0
216,2.0
217,10.0
218,3.0
219,1.0
220,9.0
221,3.0
222,5.0
223,1.0
224,7.0
225,-1.0
226,3.0
227,-1.0
228,3.0
229,8.0
230,5.0
231,-1.0
232,2.0
233,1.0
234,4.0
235,3.0
236,0.0
237,5.0
238,4.0
239,1.0
240,2.0
241,-1.0
242,6.0
243,1.0
244,5.0
245,9.0
246,4.0
247,8.0
248,5.0
249,4.0
250,3.0
251,9.0
252,3.0
253,3.0
254,4.0
255,1.0
256,5.0
257,3.0
258,0.0
259,2.0
260,2.0
261,2.0
262,2.0
263,-1.0
264,7.0
265,6.0
266,3.0
267,-1.0
268,7.0
269,6.0
270,1.0
271,2.0
272,7.0
273,3.0
274,3.0
275,2.0
276,2.0
277,1.0
278,2.0
279,4.0
280,2.0
281,3.0
282,-1.0
283,7.0
284,8.0
285,6.0
286,4.0
287,3.0
288,1.0
289,4.0
290,6.0
291,4.0
292,1.0
293,7.0
294,6.0
295,4.0
296,4.0
297,6.0
298,4.0
299,0.0
300,7.0
301,9.0
302,1.0
303,5.0
304,0.0
305,5.0
306,11.0
307,3.0
308,1.0
309,3.0
310,10.0
311,6.0
312,8.0
313,4.0
314,1.0
315,6.0
316,10.0
317,9.0
318,2.0
319,4.0
320,2.0
321,3.0
322,2.0
323,6.0
324,8.0
325,3.0
326,6.0
327,1.0
328,10.0
329,9.0
330,4.0
331,4.0
332,3.0
333,1.0
334,1.0
335,6.0
336,11.0
337,2.0
338,4.0
339,4.0
340,4.0
341,5.0
342,10.0
343,3.0
344,5.0
345,7.0
346,10.0
347,2.0
348,11.0
349,2.0
350,1.0
351,10.0
352,10.0
353,4.0
354,5.0
355,9.0
356,4.0
357,3.0
358,7.0
359,9.0
360,9.0
361,11.0
362,11.0
363,8.0
364,6.0
365,9.0
366,5.0
367,12.0
368,5.0
369,6.0
370,4.0
371,4.0
372,6.0
373,11.0
374,8.0
375,4.0
376,4.0
377,5.0
378,2.0
379,4.0
380,3.0
381,1.0
382,1.0
383,1.0
384,8.0
385,8.0
386,5.0
387,5.0
388,8.0
389,10.0
390,11.0
391,6.0
392,2.0
393,9.0
394,9.0
395,17.0
396,6.0
397,13.0
398,5.0
399,12.0
400,7.0
401,9.0
402,7.0
403,8.0
404,12.0
405,7.0
406,4.0
407,8.0
408,11.0
409,9.0
410,8.0
411,3.0
412,11.0
413,12.0
414,4.0
415,8.0
416,10.0
417,2.0
418,7.0
419,4.0
420,7.0
421,6.0
422,9.0
423,13.0
424,1.0
425,9.0
426,13.0
427,9.0
428,3.0
429,7.0
430,7.0
431,12.0
432,4.0
433,8.0
434,13.0
435,5.0
436,10.0
437,6.0
438,6.0
439,10.0
440,7.0
441,8.0
442,1.0
443,4.0
444,9.0
445,8.0
446,10.0
447,10.0
448,4.0
449,11.0
450,11.0
451,10.0
452,6.0
453,8.0
454,13.0
455,10.0
456,9.0
457,6.0
458,1.0
459,9.0
460,8.0
461,10.0
462,7.0
463,4.0
464,9.0
465,5.0
466,10.0
467,6.0
468,6.0
469,3.0
470,5.0
471,13.0
472,17.0
473,6.0
474,7.0
475,12.0
476,9.0
477,5.0
478,13.0
479,0.0
480,13.0
481,6.0
482,14.0
483,5.0
484,10.0
485,14.0
486,14.0
487,13.0
488,7.0
489,6.0
490,11.0
491,5.0
492,3.0
493,15.0
494,14.0
495,13.0
496,9.0
497,4.0
498,7.0
499,18.0
500,3.0
501,10.0
502,7.0
503,11.0
504,7.0
505,0.0
506,15.0
507,11.0
508,9.0
509,12.0
510,10.0
511,12.0
512,14.0
513,13.0
514,7.0
515,14.0
516,7.0
517,12.0
518,10.0
519,10.0
520,12.0
521,10.0
522,3.0
523,6.0
524,11.0
525,7.0
526,15.0
527,13.0
528,12.0
529,9.0
530,8.0
531,10.0
532,11.0
533,19.0
534,7.0
535,9.0
536,10.0
537,6.0
538,9.0
539,12.0
540,10.0
541,8.0
542,11.0
543,14.0
544,12.0
545,3.0
546,13.0
547,15.0
548,8.0
549,4.0
550,4.0
551,15.0
552,12.0
553,12.0
554,16.0
555,15.0
556,14.0
557,14.0
558,15.0
559,14.0
560,8.0
561,15.0
562,3.0
563,12.0
564,3.0
565,18.0
566,0.0
567,1.0
568,3.0
569,9.0
570,12.0
571,16.0
572,5.0
573,8.0
574,8.0
575,7.0
576,14.0
577,14.0
578,3.0
579,13.0
580,12.0
581,3.0
582,6.0
583,6.0
584,7.0
585,12.0
586,9.0
587,12.0
588,7.0
589,11.0
590,16.0
591,7.0
592,8.0
593,14.0
594,12.0
595,0.0
596,14.0
597,2.0
598,2.0
599,12.0
600,21.0
601,5.0
602,4.0
603,5.0
604,5.0
605,11.0
606,12.0
607,7.0
608,11.0
609,0.0
610,0.0
611,6.0
612,6.0
613,9.0
614,15.0
615,14.0
616,5.0
617,5.0
618,4.0
619,13.0
620,1.0
621,3.0
622,8.0
623,14.0
624,12.0
625,6.0
626,9.0
627,6.0
628,3.0
629,6.0
630,19.0
631,17.0
632,18.0
633,13.0
634,15.0
635,12.0
636,6.0
637,4.0
638,6.0
639,14.0
640,5.0
641,14.0
642,11.0
643,0.0
644,8.0
645,15.0
646,9.0
647,-1.0
648,0.0
649,8.0
650,7.0
651,21.0
652,5.0
653,9.0
654,7.0
655,12.0
656,3.0
657,12.0
658,3.0
659,5.0
660,11.0
661,3.0
662,9.0
663,10.0
664,7.0
665,8.0
666,5.0
667,14.0
668,9.0
669,4.0
670,12.0
671,16.0
672,15.0
673,13.0
674,7.0
675,5.0
676,11.0
677,9.0
678,1.0
679,0.0
680,18.0
681,15.0
682,16.0
683,17.0
684,9.0
685,11.0
686,6.0
687,12.0
688,11.0
689,9.0
690,11.0
691,11.0
692,3.0
693,13.0
694,15.0
695,13.0
696,11.0
697,15.0
698,1.0
699,4.0
700,4.0
701,13.0
702,8.0
703,5.0
704,12.0
705,11.0
706,11.0
707,3.0
708,2.0
709,14.0
710,6.0
711,14.0
712,14.0
713,2.0
714,4.0
715,11.0
716,21.0
717,6.0
718,5.0
719,13.0
720,4.0
721,15.0
722,9.0
723,1.0
724,13.0
725,21.0
726,2.0
727,11.0
728,10.0
729,8.0
730,11.0
731,2.0
732,9.0
733,10.0
734,14.0
735,9.0
736,10.0
737,7.0
738,9.0
739,3.0
740,15.0
741,6.0
742,9.0
743,5.0
744,14.0
745,17.0
746,10.0
747,5.0
748,6.0
749,10.0
750,10.0
751,8.0
752,13.0
753,10.0
754,11.0
755,14.0
756,13.0
757,20.0
758,17.0
759,3.0
760,8.0
761,13.0
762,17.0
763,17.0
764,1.0
765,19.0
766,14.0
767,15.0
768,21.0
769,9.0
770,19.0
771,12.0
772,6.0
773,13.0
774,14.0
775,11.0
776,10.0
777,0.0
778,12.0
779,20.0
780,12.0
781,9.0
782,11.0
783,11.0
784,8.0
785,3.0
786,7.0
787,6.0
788,6.0
789,14.0
790,-1.0
791,13.0
792,9.0
793,13.0
794,15.0
795,10.0
796,18.0
797,14.0
798,10.0
799,8.0
800,8.0
801,6.0
802,10.0
803,12.0
804,7.0
805,11.0
806,10.0
807,5.0
808,11.0
809,17.0
810,9.0
811,16.0
812,14.0
813,17.0
814,16.0
815,10.0
816,14.0
817,3.0
818,13.0
819,14.0
820,13.0
821,15.0
822,8.0
823,11.0
824,17.0
825,9.0
826,8.0
827,3.0
828,13.0
829,3.0
830,10.0
831,12.0
832,4.0
833,18.0
834,12.0
835,2.0
836,18.0
837,11.0
838,3.0
839,15.0
840,10.0
841,10.0
842,7.0
843,2.0
844,-1.0
845,2.0
846,9.0
847,15.0
848,6.0
849,18.0
850,1.0
851,13.0
852,8.0
853,3.0
854,14.0
855,3.0
856,12.0
857,6.0
858,11.0
859,5.0
860,6.0
861,9.0
862,15.0
863,9.0
864,13.0
865,7.0
866,8.0
867,-1.0
868,3.0
869,11.0
870,9.0
871,10.0
872,8.0
873,5.0
874,13.0
875,11.0
876,17.0
877,7.0
878,3.0
879,9.0
880,13.0
881,15.0
882,18.0
883,4.0
884,8.0
885,9.0
886,13.0
887,4.0
888,13.0
889,2.0
890,12.0
891,6.0
892,10.0
893,9.0
894,5.0
895,17.0
896,17.0
897,12.0
898,12.0
899,17.0
900,5.0
901,9.0
902,13.0
903,11.0
904,6.0
905,14.0
906,11.0
907,20.0
908,13.0
909,11.0
910,9.0
911,12.0
912,9.0
913,8.0
914,10.0
915,15.0
916,12.0
917,13.0
918,18.0
919,3.0
920,10.0
921,1.0
922,12.0
923,3.0
924,12.0
925,10.0
926,3.0
927,8.0
928,18.0
929,12.0
930,10.0
931,4.0
932,9.0
933,5.0
934,11.0
935,8.0
936,12.0
937,2.0
938,7.0
939,13.0
940,4.0
941,19.0
942,11.0
943,10.0
944,6.0
945,12.0
946,7.0
947,13.0
948,13.0
949,13.0
950,3.0
951,12.0
952,3.0
953,1.0
954,6.0
955,0.0
956,17.0
957,6.0
958,13.0
959,6.0
960,10.0
961,6.0
962,9.0
963,16.0
964,15.0
965,13.0
966,13.0
967,5.0
968,5.0
969,7.0
970,4.0
971,13.0
972,10.0
973,10.0
974,10.0
975,9.0
976,11.0
977,16.0
978,15.0
979,15.0
980,12.0
981,14.0
982,9.0
983,4.0
984,16.0
985,1.0
986,11.0
987,15.0
988,13.0
989,5.0
990,3.0
991,13.0
992,7.0
993,16.0
994,9.0
995,15.0
996,9.0
997,24.0
998,12.0
999,17.0
1000,19.0
1001,17.0
1002,17.0
1003,9.0
1004,8.0
1005,6.0
1006,9.0
1007,5.0
1008,12.0
1009,13.0
1010,7.0
1011,7.0
1012,17.0
1013,17.0
1014,15.0
1015,15.0
1016,16.0
1017,5.0
1018,7.0
1019,14.0
1020,16.0
1021,9.0
1022,7.0
1023,14.0
1024,4.0
1025,14.0
1026,12.0
1027,20.0
1028,10.0
1029,20.0
1030,8.0
1031,17.0
1032,7.0
1033,8.0
1034,13.0
1035,9.0
1036,7.0
1037,15.0
1038,19.0
1039,16.0
1040,13.0
1041,8.0
1042,19.0
1043,19.0
1044,10.0
1045,14.0
1046,14.0
1047,12.0
1048,18.0
1049,16.0
1050,17.0
1051,13.0
1052,12.0
1053,15.0
1054,13.0
1055,11.0
1056,12.0
1057,10.0
1058,17.0
1059,19.0
1060,18.0
1061,6.0
1062,17.0
1063,12.0
1064,20.0
1065,8.0
1066,21.0
1067,19.0
1068,13.0
1069,16.0
1070,11.0
1071,19.0
1072,15.0
1073,8.0
1074,14.0
1075,13.0
1076,14.0
1077,16.0
1078,13.0
1079,6.0
1080,11.0
1081,9.0
1082,11.0
1083,23.0
1084,11.0
1085,13.0
1086,10.0
1087,15.0
1088,2.0
1089,9.0
1090,15.0
1091,15.0
1092,12.0
1093,9.0
1094,16.0
1095,15.0
1096,15.0
1097,12.0
1098,13.0
1099,7.0
1100,12.0
1101,13.0
1102,12.0
1103,17.0
1104,16.0
1105,12.0
1106,19.0
1107,11.0
1108,10.0
1109,14.0
1110,16.0
1111,8.0
1112,15.0
1113,15.0
1114,12.0
1115,12.0
1116,12.0
1117,10.0
1118,7.0
1119,14.0
1120,14.0
1121,22.0
1122,10.0
1123,12.0
1124,11.0
1125,18.0
1126,15.0
1127,18.0
1128,13.0
1129,16.0
1130,8.0
1131,11.0
1132,13.0
1133,10.0
1134,18.0
1135,15.0
1136,16.0
1137,17.0
1138,10.0
1139,18.0
1140,13.0
1141,12.0
1142,5.0
1143,2.0
1144,3.0
1145,20.0
1146,16.0
1147,15.0
1148,13.0
1149,13.0
1150,10.0
1151,0.0
1152,18.0
1153,11.0
1154,13.0
1155,17.0
1156,13.0
1157,15.0
1158,17.0
1159,14.0
1160,11.0
1161,16.0
1162,3.0
1163,8.0
1164,15.0
1165,12.0
1166,16.0
1167,11.0
1168,8.0
1169,13.0
1170,14.0
1171,18.0
1172,17.0
1173,19.0
1174,11.0
1175,19.0
1176,13.0
1177,14.0
1178,10.0
1179,16.0
1180,15.0
1181,18.0
1182,8.0
1183,16.0
1184,17.0
1185,11.0
1186,8.0
1187,8.0
1188,19.0
1189,7.0
1190,18.0
1191,14.0
1192,19.0
1193,16.0
1194,14.0
1195,12.0
1196,9.0
1197,5.0
1198,16.0
1199,17.0
1200,15.0
1201,18.0
1202,17.0
1203,12.0
1204,14.0
1205,9.0
1206,14.0
1207,1.0
1208,1.0
1209,8.0
1210,15.0
1211,15.0
1212,8.0
1213,7.0
1214,16.0
1215,14.0
1216,17.0
1217,16.0
1218,15.0
1219,15.0
1220,3.0
1221,5.0
1222,10.0
1223,14.0
1224,17.0
1225,16.0
1226,15.0
1227,16.0
1228,16.0
1229,13.0
1230,13.0
1231,5.0
1232,15.0
1233,14.0
1234,10.0
1235,12.0
1236,18.0
1237,17.0
1238,19.0
1239,13.0
1240,14.0
1241,13.0
1242,19.0
1243,15.0
1244,10.0
1245,12.0
1246,11.0
1247,18.0
1248,13.0
1249,12.0
1250,22.0
1251,17.0
